	x_1	x_2	y
0	EJ Manuel the 1st QB to go in this draft	But my bro from the 757 EJ Manuel is the 1st QB gone	1
1	EJ Manuel the 1st QB to go in this draft	Can believe EJ Manuel went as the 1st QB in the draft	1
2	EJ Manuel the 1st QB to go in this draft	EJ MANUEL IS THE 1ST QB what	1
3	EJ Manuel the 1st QB to go in this draft	EJ da 1st QB off da board	1
4	EJ Manuel the 1st QB to go in this draft	Manuel is the 1st QB to get drafted	1
5	EJ Manuel the 1st QB to go in this draft	My boy EJ Manuel being the 1st QB picked	1
6	EJ Manuel the 1st QB to go in this draft	Not surprised EJ Manuel was 1st QB taken	1
7	EJ Manuel the 1st QB to go in this draft	WOW EJ MANUEL FSU 1ST QB TAKEN	1
8	EJ Manuel the 1st QB to go in this draft	Wow EJ Manuel 1st QB taken in the draft	1
9	EJ Manuel the 1st QB to go in this draft	if EJ is the 1st QB off the board	1
10	So EJ Manuel is the 1st QB taken	Bills take EJ Manuel QBFlorida State 1st QB off the board	1
11	So EJ Manuel is the 1st QB taken	Can NOT believe EJ Manuel was 1st qb taken in the draft	1
12	So EJ Manuel is the 1st QB taken	Damon EJ 1st Qb off the board	1
13	So EJ Manuel is the 1st QB taken	EJ Manuel not Geno Smith the 1st QB taken	1